feature_304,feature_138,feature_833,feature_231,feature_693,feature_160,feature_409,feature_31,feature_420,feature_256,feature_5,feature_812,feature_863,feature_927,feature_2,feature_803,feature_12,feature_758,feature_145,feature_381,feature_898,feature_125,feature_233,feature_18,feature_97,feature_924,class
-2.8871384,-3.6912894,-1.6749076,-0.41794598,2.7460878,-2.5976124,-3.3292587,-4.0028095,2.5712175,-2.0594676,-1.4275138,5.2347488,0.58419389,-3.6045413,0.43801254,-2.0496202,-2.844409,-0.72054386,-1.8562789,-1.4166899,-0.32656279,-0.93543923,-0.05768257,0.38383129,-0.78693354,-0.88890034,FML
-2.8961294,-3.9857967,-1.7368094,-0.54679394,2.8752615,-2.282162,-3.4676509,-4.1043739,2.7596633,-2.1666393,-1.4448454,5.2269311,0.50489187,-3.7452157,0.43883288,-1.9574656,-2.9038661,-0.50013471,-1.8845255,-1.5117538,-0.42949823,-0.92699176,-0.40500554,0.38864872,-0.80653077,-0.91113347,FML
-2.8619237,-3.8177202,-1.7944481,0.043309432,2.7646227,-2.6529257,-3.256444,-4.2022786,2.7984772,-2.1121647,-2.0470972,5.9348111,0.73678482,-4.1211367,0.25839376,-1.8774199,-3.0647135,-0.14947295,-1.6968741,-1.420259,-0.77501392,-1.2185549,0.031803098,0.24567464,-0.8310073,-0.97846359,FML
-2.8101771,-3.9107485,-1.6131147,-0.27255732,2.8996246,-2.2843399,-3.4550195,-3.9819539,2.8332398,-2.0514402,-1.2570158,5.503468,0.60446697,-3.553467,0.30122787,-1.6209924,-2.6964819,-0.52063572,-2.3018956,-1.5872211,-0.27825496,-1.1887347,-0.12370642,0.53808308,-0.76962227,-1.1316502,FML
-2.9150465,-3.8963118,-1.7783933,-0.086930856,2.6918647,-2.4461915,-3.4724822,-4.1802206,2.6360445,-2.0706115,-1.5066088,5.9547477,0.63930351,-3.8506877,0.24554873,-1.9235733,-2.9845929,-0.46290019,-2.2480905,-1.4616563,-0.3889764,-1.2019074,-0.0556808,0.28247109,-0.67475557,-1.1275386,FML
-2.9933627,-4.0155244,-2.0631917,0.30694178,2.9528494,-2.9027922,-3.3641829,-4.4214497,3.0398591,-2.164185,-2.1111743,6.2929893,0.98975718,-4.2864962,0.34921512,-1.9309278,-3.225832,-0.2838985,-1.6078424,-1.5837121,-0.82206696,-1.3196691,0.27500871,0.16186446,-0.9110353,-1.0893096,FML
-2.685221,-3.6505804,-2.0814238,0.038263366,2.9846437,-2.7700229,-3.4134948,-3.997638,2.7623456,-2.1524594,-1.8826035,6.0831003,0.73863208,-3.8034296,0.53259325,-1.8213422,-2.8278952,-0.50889271,-2.0021689,-1.5238466,-0.43932426,-1.2334369,0.06943129,0.33429402,-0.54446697,-1.0938967,FML
-3.1315506,-4.0162811,-1.6236745,0.21765228,2.947124,-2.8910415,-3.2537174,-4.279294,2.7134399,-2.2438929,-1.7048138,6.0085006,0.88406408,-3.8660638,0.44148487,-1.5797956,-2.980031,-0.54347682,-2.1701663,-1.6923523,-0.5233084,-1.459282,0.17093839,0.51275891,-0.54841107,-1.2235171,FML
-2.632061,-3.8716137,-1.7628217,0.21400735,2.6750622,-2.3195803,-3.4998472,-3.9817226,2.4666188,-2.1099072,-1.906521,5.4359179,0.69036788,-3.9273634,0.19203153,-1.6156573,-3.0176477,-0.21237752,-2.0434644,-1.3216336,-0.75500929,-1.1003354,0.1419024,0.34354216,-0.64270502,-1.0366315,FML
-2.7011838,-3.6995645,-1.4728979,0.13990234,2.8447864,-2.3750815,-3.2645047,-3.8446422,2.7750797,-2.0780904,-1.5944049,5.8484697,0.73828733,-3.7968245,0.21056929,-1.5889506,-2.7532451,-0.49048337,-2.278065,-1.4708908,-0.5859431,-1.5107367,0.064527139,0.39357004,-0.66197491,-1.2571203,FML
-2.8942037,-3.9484468,-1.9030058,-0.092304513,2.6165526,-2.5811846,-3.3482685,-4.0968142,2.7465835,-2.1178644,-2.1467495,6.0003262,0.80364603,-3.7223639,0.22063637,-1.8918496,-2.9369059,-0.36505997,-2.0105305,-1.5944924,-0.49702173,-1.3168395,0.03739221,0.35358939,-0.83777624,-1.003943,FML
-2.9036751,-3.9581528,-1.6641933,-0.58522689,2.7554629,-2.4852083,-3.5776305,-4.3174372,2.7454193,-2.1455107,-1.5226181,5.0248203,0.79292583,-3.8876803,0.18085617,-1.9282985,-3.1879442,-0.46468839,-1.9353961,-1.540987,-0.67081815,-0.55424279,-0.33427915,0.50387508,-1.0353956,-0.69606888,FML
-2.7193987,-3.8865352,-1.7004187,-0.42900291,2.4750242,-2.2919784,-3.4819241,-4.0920897,2.7120585,-2.0314121,-1.4000485,5.4188709,0.67440557,-3.8202178,0.37994087,-1.8885685,-2.9363241,-0.50552195,-1.9145626,-1.5134304,-0.66680825,-0.91305321,-0.22020918,0.21098685,-0.91214204,-1.0635817,FML
-2.7658665,-4.3575149,-1.6438884,0.13207249,2.7856638,-2.7119634,-3.5117276,-4.348805,2.8036749,-2.2920105,-1.8574977,5.8233237,1.0087885,-4.208725,0.74196333,-1.9175014,-2.9579744,-0.54709655,-1.7150563,-1.5404646,-0.68770707,-1.2541045,0.08953613,0.23971745,-0.70373523,-1.0145929,FML
-2.7130413,-3.9503663,-1.894075,-0.36626261,2.8207095,-2.6358335,-3.1233852,-4.4010563,3.0938694,-2.2754421,-2.0086854,5.741148,0.76996756,-3.9670482,0.17323524,-2.0553133,-3.2284613,-0.31620982,-1.7879331,-1.508379,-0.53248286,-1.0385032,-0.10484615,0.14334714,-1.0000899,-0.75837523,FML
-2.8241246,-3.7948363,-1.5944937,0.19803952,2.7774208,-2.8236523,-3.1997178,-4.3025236,2.818639,-2.0272119,-1.6535516,6.2942472,0.83636862,-4.0687585,0.41258752,-1.928628,-3.1076753,-0.48618755,-1.9401397,-1.31462,-0.5939405,-1.430982,0.41024005,0.11451299,-0.63110316,-1.2782588,FML
-2.6990225,-3.7526362,-1.9474813,-0.13874561,2.4282925,-2.3519821,-3.3694015,-4.024529,2.889889,-1.9744377,-1.4921784,6.12396,0.70268464,-3.9150758,0.25849748,-2.0009744,-2.8769321,-0.4358978,-2.0775166,-1.5423136,-0.47518986,-1.2721902,0.00576143,-0.024295673,-0.92465705,-1.0926992,FML
-2.7996566,-3.7834389,-1.7232165,0.079045355,2.6986268,-2.5169299,-3.3917181,-4.1918907,2.8518176,-2.1334987,-1.9022118,5.8340659,0.84349561,-4.0655389,0.33524889,-1.7454484,-3.0999296,-0.41931912,-1.8453106,-1.2907765,-0.95762521,-1.2188993,0.16491759,0.36796251,-0.72103995,-1.1191026,FML
-2.8423612,-3.8859739,-1.7292559,-0.16097614,2.5942361,-2.5397382,-3.5228562,-4.2261424,2.9166555,-2.1894162,-1.7314532,5.9644623,0.68011492,-3.799834,0.12484252,-1.6713049,-2.9456353,-0.26022753,-2.0573952,-1.4721682,-0.57732606,-1.3154215,-0.080435649,0.27968878,-0.84072846,-1.0973475,FML
-2.8742731,-3.9348409,-1.6191151,0.24768546,2.7417724,-2.7800763,-3.2749314,-4.0757093,2.6775651,-2.0739205,-1.7658997,5.7237329,0.85315055,-3.6896255,0.49205679,-1.7528433,-3.0275972,-0.56267041,-1.7479699,-1.3309398,-0.58637238,-1.3320413,0.17363939,0.33255908,-0.80590028,-1.0987829,FML
-2.8960299,-4.029304,-1.8138968,-0.44711083,2.9113586,-2.5533917,-3.5762556,-4.3600035,2.8846607,-2.2650003,-1.6714875,5.8842907,0.65843254,-4.1613111,0.45363635,-1.9953852,-2.983968,-0.45979205,-1.7847362,-1.6866076,-0.58838147,-1.1412619,-0.028248075,0.30089092,-0.61518234,-1.0821917,FML
-2.7211864,-3.8532906,-1.6039733,-0.4623853,2.7882621,-1.8771905,-3.8393798,-3.831933,2.4729166,-1.9198283,-1.1554035,5.1322722,0.40883002,-3.5141389,0.14781182,-1.6143668,-2.7810979,-0.69624257,-2.5938358,-1.5730019,-0.37168929,-0.89722049,-0.29524842,0.57562065,-0.66134858,-1.1031345,FML
-2.7499285,-4.0010772,-1.5632901,-0.48292908,2.9228237,-2.2677758,-3.7911191,-4.1247888,2.9946301,-2.1370316,-1.3405076,5.7743359,0.72349483,-3.4590957,0.30774081,-1.6799717,-2.8666852,-0.65303481,-2.6876235,-1.6854002,-0.29295716,-1.021759,-0.23286796,0.42023021,-0.80343366,-0.97009754,FML
-2.7417986,-3.9970589,-1.7476263,-0.061463546,2.6956856,-2.6863413,-3.4758439,-4.4077964,2.7758429,-2.1091747,-1.9410617,5.9260216,0.99915421,-4.0148282,0.23162413,-1.9015146,-3.059406,-0.3964234,-1.9440225,-1.4931588,-0.75157624,-1.139098,0.031487662,0.12136842,-0.86672157,-0.94640863,FML
-2.8290145,-3.8873873,-1.6819854,0.10026722,2.6162682,-2.3803611,-3.4658012,-4.1037707,2.5355794,-2.026572,-1.3332422,5.7728553,0.69829303,-3.8855462,0.4337858,-1.7918648,-2.9701073,-0.49928316,-2.0330055,-1.446203,-0.629803,-1.2290918,0.087817945,0.29294726,-0.54478592,-1.2210749,FML
-2.8208032,-3.7207153,-1.7721241,0.24608408,2.7353234,-2.6554704,-3.2819438,-4.0578165,2.7734387,-2.1570559,-1.8996997,5.8229995,0.73365349,-3.9409561,0.35048634,-1.7157549,-2.8538849,-0.38791379,-1.764768,-1.4926217,-0.58179438,-1.3995454,0.23921072,0.40147424,-0.62041748,-1.0828037,FML
-2.7343612,-3.9104497,-1.5839105,-0.18312034,2.8280509,-2.2770929,-3.4226711,-4.1151085,2.7743738,-2.0229795,-1.4814385,5.7514515,0.64470047,-3.7721419,0.36286241,-1.6138291,-2.8001957,-0.65917873,-2.3040051,-1.5000854,-0.47792637,-1.3047616,0.038098756,0.44155759,-0.4622016,-1.1457049,FML
-2.7335017,-3.8968272,-1.694019,-0.62582511,2.7121441,-2.2565541,-3.5656774,-4.1666899,2.8734643,-2.0745368,-1.4880592,5.5944118,0.60524654,-3.6874123,0.28990018,-1.9301472,-2.8344023,-0.4984999,-2.3358734,-1.7649689,-0.3644104,-0.9229241,-0.19618669,0.37301406,-0.96085614,-1.0129684,FML
-3.0051019,-3.8496614,-1.652164,0.033353239,2.8079436,-2.5002196,-3.4388852,-4.112051,2.6682873,-2.0211341,-1.6422455,5.6930637,0.63811421,-3.7730095,0.21767667,-1.6814023,-2.9736674,-0.33128062,-2.1543643,-1.5217984,-0.56834936,-0.97675574,0.037286494,0.30284095,-0.68055004,-1.02633,FML
-2.7554672,-3.7890286,-1.9431802,-0.31742623,2.922395,-2.6109774,-3.0824635,-4.0954585,2.8134518,-2.317986,-1.731607,5.7335591,0.56059057,-3.8808188,0.20283645,-1.8621176,-2.8533938,-0.34066451,-1.880888,-1.4398239,-0.49673623,-1.2094483,-0.15189113,0.40253794,-0.7602843,-1.0466468,FML
-2.7526634,-3.879204,-1.7904923,-0.067087084,2.9506307,-2.4148805,-3.4670227,-3.9573529,2.9639046,-2.2615027,-1.9126498,5.7482595,0.77489412,-3.962481,0.47040689,-2.0621188,-2.8069313,-0.41928977,-1.9583405,-1.5402501,-0.26367989,-1.2845541,0.079542741,0.23449475,-0.67059737,-1.1081704,FML
-2.8319516,-3.9323528,-1.6582354,-0.58469814,2.8687208,-2.3624156,-3.8546646,-4.1450329,2.8962972,-2.3351619,-1.4590052,5.5237489,0.73994303,-3.8436821,0.24758986,-2.0081038,-2.9999712,-0.70490426,-2.1380601,-1.6138477,-0.55156177,-0.83313745,-0.44704551,0.26979119,-0.83412886,-0.807064,FML
-2.8861685,-3.7805371,-1.5342445,-0.27183878,2.6782372,-2.2383971,-3.4312341,-4.0396214,2.689585,-1.8999065,-1.2385682,5.4128323,0.6692434,-3.6147871,0.4900704,-1.8316317,-2.8358307,-0.55644488,-2.119303,-1.3318527,-0.54438466,-0.87567544,-0.11724478,0.39522663,-0.58677691,-1.0407025,FML
-2.6865196,-3.785121,-1.9474229,0.075209387,2.7578619,-2.8727953,-3.1644418,-4.0398879,2.7536275,-2.0785267,-1.8359975,5.9155135,0.80009848,-4.0582628,0.2067091,-1.772638,-2.9940894,-0.41016558,-1.9104447,-1.4072165,-0.61758316,-1.5202494,0.20366465,0.33690393,-0.84120411,-1.2232385,FML
-2.7158632,-3.7888975,-1.7890793,-0.030927006,2.6389964,-2.3512361,-3.0789921,-3.9495118,2.7515604,-2.0316966,-1.5382396,5.6911631,0.58282274,-3.6583567,0.28152621,-1.8060012,-2.7408035,-0.48890826,-2.1388924,-1.5609965,-0.44489598,-1.3206909,-0.030081328,0.32726929,-0.59773225,-1.2304338,FML
-2.858948,-3.7081826,-1.6114331,0.037213512,2.6594007,-2.5711625,-3.1743956,-4.0962281,3.0042574,-2.1414156,-1.6107397,6.1500878,0.76993692,-3.8231187,0.13443486,-1.7737408,-2.9264853,-0.23240477,-2.2818186,-1.4370868,-0.43138245,-1.5365763,0.18811093,0.2181524,-0.68725878,-0.99783933,FML
-2.6084445,-4.0868587,-1.8400977,0.38167736,2.574909,-2.7211123,-3.2586329,-4.4671679,3.2450876,-2.2466431,-1.7699789,6.4773741,1.0817602,-4.4486556,0.46379036,-2.0690649,-3.164325,-0.16112849,-1.6325573,-1.4786491,-0.72488701,-1.4905154,0.044347573,-0.32376361,-0.86892259,-0.92709035,FML
-2.9092932,-3.8244731,-1.7523556,-0.31919408,2.8162749,-2.3421555,-3.3470039,-4.1103325,2.8110771,-2.1966887,-1.9005404,5.7167063,0.49015486,-3.8290031,-0.072467849,-1.6331047,-2.9916232,-0.16806224,-2.0115705,-1.4151089,-0.7344808,-1.3150965,0.074219748,0.54828596,-0.79648,-0.98934233,FML
-2.89451,-4.1392078,-1.7416461,-0.54597956,3.1388364,-2.6491389,-3.4090602,-4.3286886,3.0309873,-2.2724969,-1.5015725,5.60572,0.71657187,-3.861407,0.64438879,-1.9245813,-2.7940545,-0.72757363,-2.0186894,-1.7420695,-0.38881922,-1.0039032,-0.25177976,0.58097255,-0.7550261,-0.96075267,FML
-2.8550811,-3.8598962,-1.4282779,-0.75078917,2.64274,-2.1627657,-3.8114867,-3.9440012,2.5022726,-1.946869,-1.4011563,5.1889429,0.50027835,-3.366111,0.27159297,-1.8576643,-2.8100188,-0.77901912,-2.2634633,-1.503159,-0.35664859,-0.61730301,-0.32929224,0.57719821,-0.83149529,-0.78956199,FML
-2.8799386,-3.7938311,-1.7996486,-0.28810337,3.013165,-2.499418,-3.3957887,-4.1262436,2.8017418,-2.1541445,-1.7341563,5.7175608,0.59532917,-3.798301,0.064879291,-1.636947,-2.9700665,-0.36492842,-2.2207136,-1.5203035,-0.47676519,-1.2740501,-0.022191901,0.51705647,-0.77970088,-1.1940303,FML
-2.8678644,-3.9204383,-1.6623983,0.003160432,2.8043272,-2.750241,-3.2411268,-4.2747293,2.9687152,-2.3146524,-1.8519704,6.0607715,0.77289355,-3.9850616,0.54311639,-1.784355,-2.9122219,-0.56969756,-1.9811289,-1.4626257,-0.50859147,-1.4726964,0.20205349,0.35386205,-0.48245847,-1.1660452,FML
-2.9254074,-3.9317381,-1.760396,-0.28766286,3.0102942,-2.3784387,-3.4445164,-4.0789442,2.7508848,-2.1602714,-1.8734753,5.9513049,0.62965012,-3.8237274,0.19155921,-1.9283017,-2.9689679,-0.44717565,-2.283653,-1.6546049,-0.54542214,-1.2298018,0.012429051,0.40767556,-0.66733027,-1.1249076,FML
-2.7021587,-3.9947042,-1.9619408,0.060364179,2.5706801,-2.6079946,-3.2296669,-4.2660646,3.0563293,-2.1897743,-2.3765991,6.5017204,0.94145787,-3.9881158,0.10411707,-2.0867403,-3.1109731,-0.15798497,-1.7992277,-1.562768,-0.73589522,-1.6027344,0.23305047,-0.062481225,-0.86000377,-1.0416348,FML
-2.6025116,-3.6391211,-1.7279023,-0.009565894,2.6507313,-2.4759319,-3.2771115,-4.0536723,3.0276773,-2.0800204,-1.6486902,5.9374561,0.64101017,-3.8198466,-0.070384338,-1.6685795,-2.9222724,-0.38173401,-2.2482405,-1.2750478,-0.64871073,-1.3623368,0.070955351,0.30409148,-0.86835903,-1.1345938,FML
-2.9108968,-3.928375,-1.7617829,0.31183282,2.8122919,-2.6502571,-3.4563777,-4.0796943,2.7473128,-2.2056019,-1.947199,6.1267543,0.89958996,-3.8351912,0.31549501,-1.7170432,-2.9777262,-0.19320157,-2.2330372,-1.6002228,-0.63259184,-1.4340522,0.15027764,0.43095988,-0.67654777,-1.182202,FML
-2.9055159,-3.7191982,-1.7137781,-0.60397077,2.7493327,-2.3353174,-3.6184292,-4.1356649,2.862252,-2.0510068,-1.0831798,5.6794791,0.63863981,-3.4737551,0.33314317,-1.7088355,-2.8920681,-0.53859305,-2.1430869,-1.4052615,-0.4364191,-0.8328653,-0.17718044,0.35822433,-0.73175937,-0.91601008,FML
-2.8515458,-3.710577,-1.6235057,-0.060301904,2.7504623,-2.5732749,-3.0194473,-4.0076203,2.5981808,-2.0286596,-1.6230179,5.8674302,0.92160362,-3.7897861,0.41983724,-1.8549964,-2.7700305,-0.49008104,-1.799378,-1.5623546,-0.41788611,-1.3830781,0.34692574,0.24082318,-0.67347795,-1.2963495,FML
-2.5954716,-3.8344188,-1.7499559,-0.37873656,2.7041423,-2.3719494,-3.5577357,-4.0093007,3.0209756,-2.2165434,-2.141727,5.9025106,0.43818447,-3.7990623,0.12649634,-2.1416717,-2.8456523,-0.52676862,-2.2039828,-1.5156806,-0.50745153,-1.2213408,0.01111671,0.22991994,-0.78141761,-0.95957232,FML
-2.6731029,-3.983937,-1.7896729,0.056300156,2.5303824,-2.5006278,-3.2942853,-4.1977363,2.6330185,-2.1401904,-1.937353,5.8091812,0.83989584,-4.0843534,0.32413554,-1.9336891,-2.838315,-0.27648109,-1.5110185,-1.5584142,-0.63619953,-1.3024393,0.038724646,0.30105144,-0.73237842,-0.95189774,FML
