feature_430,feature_355,feature_467,feature_933,feature_283,feature_531,feature_592,feature_85,feature_624,feature_868,feature_24,feature_607,feature_399,feature_826,feature_1,feature_858,feature_2,feature_158,feature_415,class
1.6843363,-0.30336761,-0.63179153,-0.80739909,0.49747321,5.9649091,0.79866153,0.09519098,2.0525303,-1.2883265,-1.3591402,4.5373549,2.2834563,-1.2507018,-3.0826626,0.34741452,0.77286243,0.35770321,-2.1466417,FML
2.0664492,-0.59667075,-0.6161316,-0.73033804,0.44302875,6.296782,1.6051278,-0.27040929,1.9550198,-1.1615899,-1.873571,4.5383601,2.269562,-1.2591075,-3.1068661,0.75444728,0.77884853,0.5851022,-1.4089395,FML
1.9923497,-0.45862213,-0.50953478,-0.64389431,0.44482914,6.1948547,1.2529823,-0.21588323,1.8080039,-1.258988,-1.5226007,4.7736621,2.275466,-1.4777099,-3.0369091,0.36702728,0.90664655,0.7308346,-1.8056009,FML
2.0670331,-0.44265944,-0.50420785,-0.67217368,0.49516144,6.0279551,0.70800662,0.20022692,1.5529573,-1.214498,-1.4531941,4.5810251,2.1788719,-1.4727125,-2.8125429,0.38217303,1.0428467,0.90655857,-2.1034787,FML
2.1743083,-0.75879401,-0.56786865,-0.88838464,0.62839019,5.9814806,1.0982807,-0.13713947,1.5849695,-1.3117321,-1.7592652,5.118144,2.4837615,-1.3506621,-2.80003,0.33826768,0.94135559,0.87860245,-2.0947874,FML
1.8196186,-0.37914085,-0.61636776,-0.79737246,0.39454624,6.2357464,0.92169744,0.21980506,1.8575541,-1.368784,-1.7667919,4.4692664,2.3245602,-1.3216088,-2.9411504,0.74630785,0.87061763,0.67143905,-1.828126,FML
1.9691201,-0.50606459,-0.52878982,-0.69950581,0.3363193,6.0559912,1.0376657,-0.19247052,1.8468136,-0.98513615,-1.4828423,4.2654719,1.9406508,-1.2820661,-2.8554766,0.54265374,0.77969688,0.56327385,-1.7771806,FML
1.749047,-0.36629361,-0.77107745,-0.79646158,0.43531105,6.1450748,0.79990369,-0.11028789,1.7345983,-1.2869135,-1.4435917,4.3808322,2.1568165,-1.2800863,-2.9144959,0.46185288,0.89333504,0.54309946,-1.8507254,FML
1.5577387,-0.4497115,-0.49618533,-0.76136541,0.32945657,6.4877253,0.98475319,-0.43233648,1.9212173,-1.289678,-1.4350995,4.217515,2.2327409,-1.1624464,-3.2210622,0.75393528,0.83673167,0.34308183,-2.0098896,FML
2.0230355,-0.60866982,-0.73648483,-0.62748361,0.45073888,6.4613156,1.7105851,0.25810912,2.0075383,-0.99308962,-1.6461378,4.6823702,2.3860238,-1.301015,-2.9283903,0.43444353,0.8361823,0.62603378,-1.9613456,FML
1.9827999,-0.57540005,-0.38375118,-0.81292427,0.59744799,5.96875,0.64742738,-0.033235226,1.5192255,-0.98651409,-1.4587647,4.5012612,2.1057377,-1.533216,-2.8378444,0.34638792,0.85031778,0.87266046,-1.8701136,FML
1.8849058,-0.42528233,-0.86451221,-0.62244171,0.64501154,6.176867,0.87606066,0.76668912,1.6608528,-1.3108556,-1.482964,4.8407087,2.373251,-1.4660839,-2.9183912,-0.047769103,1.0281926,0.48735628,-1.9209695,FML
2.2207038,-0.53577507,-0.5648213,-0.80680537,0.62749308,5.8360934,0.97099715,-0.25800735,1.6908504,-1.3098298,-1.7250509,4.557375,2.2170315,-1.2665775,-2.9515073,0.77059799,0.96657979,0.89028597,-1.8796374,FML
