feature_973,feature_680,feature_824,feature_531,feature_734,feature_44,feature_899,feature_321,feature_602,feature_921,feature_3,feature_572,feature_331,feature_437,feature_4,feature_740,feature_166,feature_923,feature_675,feature_570,feature_11,feature_829,feature_828,feature_207,feature_319,feature_27,feature_178,feature_595,class
-0.13408872,-0.30787918,1.2182152,3.8241518,1.2166526,0.11444868,1.2816825,-0.33524606,3.4304461,-0.3159757,-3.2681062,-1.9932963,-0.64828831,-1.1414723,-2.8361282,0.58131665,-0.94409704,0.23771164,0.14218834,-1.6705739,-0.23430195,0.91542566,2.1795027,-0.090915918,0.39877874,-1.7858248,-1.6786637,1.4000888,FML
-0.14272887,-0.6086129,1.324002,3.9363258,1.3674251,0.59462661,1.4853171,-0.43969551,3.1669414,-0.69391388,-3.3784685,-1.8768737,-0.39724174,-1.2599883,-2.8586788,0.71012658,-1.107456,0.074125648,0.40723926,-1.7886493,-0.10430112,1.1053606,1.7857298,0.24444136,0.2385862,-1.4101697,-1.5446504,1.2153723,FML
0.024800174,-0.35923073,1.4628198,3.521281,1.5282947,0.40294522,1.6358552,-0.46977419,2.7727506,-0.59346843,-3.098315,-1.8938705,-0.4637509,-1.4930382,-2.6703508,0.21277773,-1.0339108,0.37312382,0.17768806,-2.0994565,-0.46684116,1.3250877,1.7564008,0.58050585,0.32527733,-0.85438275,-1.0795755,1.2841096,FML
-0.15879354,-0.47867367,1.065351,3.8599184,1.5675181,0.31238037,1.4519844,-0.48827398,3.229161,-0.41036627,-3.4921372,-1.737686,-0.62629229,-1.1309144,-3.0112045,0.69922191,-0.95838284,0.18245129,0.26176792,-1.757647,-0.12124181,0.82077014,2.0765529,0.18199751,-0.013131306,-1.7054312,-1.5155233,1.2944828,FML
-0.097303152,-0.28696465,1.393003,3.6735606,1.4729091,0.34588194,1.5084442,-0.3242048,3.1205933,-0.48760158,-3.2799563,-1.9421606,-0.58842582,-1.3845816,-2.8983634,0.44714898,-1.1164796,0.46026415,0.17695844,-1.90658,-0.18567573,0.89211547,1.8978742,0.1545904,0.36140686,-1.4302082,-1.3081465,1.2322918,FML
-0.09331762,-0.40559256,1.4031136,3.5077553,1.5240082,0.27120155,1.7770091,-0.53785878,2.6629198,-0.4668383,-3.1762242,-1.6622944,-0.56617582,-1.4223449,-2.9838753,0.19135576,-1.2833036,0.55970716,0.41583365,-2.0056312,-0.58921546,1.6710218,1.7195226,0.26705614,0.13687387,-1.2675914,-1.4681807,1.2405024,FML
-0.26894739,-0.31020337,1.3896286,4.0823231,1.550006,0.036467925,1.8346026,-0.3173205,2.8088803,-0.1831339,-3.2908309,-1.5465142,-0.68501693,-1.2829082,-2.8382998,0.41336691,-1.2606506,0.60464728,0.16769597,-2.0146127,-0.46660599,1.1419768,2.261373,-0.004182532,0.065923676,-1.6395493,-1.5334263,1.4781753,FML
0.14087482,-0.55613136,1.2083986,3.5562661,1.4466635,0.26250494,1.5644464,-0.32392591,2.5244536,-0.54597712,-2.9086185,-1.8642842,-0.70947164,-1.4759755,-2.5084348,0.050969601,-1.1339144,0.51670331,0.13373563,-1.8824878,-0.59713531,1.6338279,1.940065,0.26200268,0.51616782,-0.80425525,-1.300633,1.2955011,FML
-0.15751263,-0.49942616,1.1179883,3.777106,1.6420016,0.28257287,1.542751,-0.29942563,3.2251866,-0.48182178,-3.290694,-1.8773955,-0.63759142,-1.2552218,-2.9518225,0.45582092,-1.0759689,0.27279648,0.21454477,-1.7630883,-0.26257372,0.96739376,1.8843857,-0.057930604,0.2392015,-1.5413349,-1.6892396,1.2295387,FML
0.006859675,-0.48672572,1.0327785,3.9434636,1.3993659,0.35512549,1.3620385,-0.23963514,2.98473,-0.46925011,-3.1181734,-1.9153019,-0.66162455,-1.3298321,-2.6568289,0.42675874,-1.1269318,0.18573861,0.10644978,-1.697875,-0.23461565,1.1089702,2.1315427,0.12029091,0.49290848,-1.2076322,-1.4116207,1.2576028,FML
