feature_929,feature_648,feature_533,feature_374,feature_146,feature_162,feature_292,feature_2,feature_125,feature_105,feature_36,feature_239,feature_684,feature_771,feature_3,feature_361,feature_505,feature_905,feature_385,feature_395,feature_822,feature_119,feature_52,feature_100,feature_71,feature_382,feature_164,feature_579,feature_195,feature_59,feature_857,class
-2.4887023,-0.13715824,-0.20755446,-0.93506086,-2.0772736,-1.5839338,-1.0357852,0.3953777,-2.9714561,-1.6025585,-3.8143375,-2.0501583,1.5856726,-1.7782162,-1.4562167,-1.7185241,0.60953712,4.7906032,-1.8564141,-3.4790809,-0.98408115,-3.0817122,-2.2202477,-1.5909566,-1.2447511,-2.8636351,-0.84306169,2.2752032,-1.1963645,-1.4167137,-0.74674726,FML
-2.4338534,0.60463572,0.1205923,-0.74541777,-2.2540364,-1.7173891,-0.76037967,0.66852254,-2.7663376,-1.7453363,-3.6099203,-2.0706928,1.5904996,-2.0975473,-1.5901709,-1.5665438,0.71027613,4.9391909,-2.2346253,-3.9387019,-0.67525846,-2.9793525,-2.4773073,-1.820801,-1.1424865,-2.9263852,-0.70182222,3.3751559,-1.4072282,-1.6903248,-0.78830618,FML
-2.4965641,-0.43399793,-0.32048339,-0.939381,-2.0817819,-1.640599,-0.9854902,-0.039277781,-3.5028868,-1.7574364,-3.9995775,-1.8379581,1.583101,-1.8485929,-1.4846673,-1.6491523,0.41656306,4.527072,-1.9731262,-3.5982745,-0.59277874,-3.4215856,-1.8123667,-1.3646741,-1.8182231,-2.7898817,-0.85877275,1.9593816,-0.92695397,-1.5837376,-0.58454919,FML
-2.510752,0.11359078,-0.20736611,-0.73630613,-2.0858383,-1.548703,-0.84670651,0.25457183,-3.1036861,-1.736801,-3.8331723,-1.7917066,1.4895034,-1.9762253,-1.361308,-1.6443151,0.47378582,4.8164754,-2.0776713,-3.6425576,-0.71434969,-3.1157026,-2.5103056,-1.6595228,-1.5745866,-2.9131396,-0.88358021,2.8148944,-1.1340225,-1.5880959,-0.6444571,FML
-2.3610692,0.068881273,-0.25241804,-0.88149893,-2.2049723,-1.5785961,-1.0954124,0.44437239,-2.8314962,-1.7693137,-3.6513109,-1.924695,1.3872563,-1.5541182,-1.2585796,-1.7719134,0.62936163,4.8635378,-2.2373514,-3.4224744,-0.83792853,-3.1910272,-2.3382442,-1.7665303,-1.5352563,-3.1065948,-0.91422868,2.9877548,-1.4699898,-1.4053638,-0.80074275,FML
-2.3970349,-0.23363908,-0.21735328,-0.88274109,-2.1748052,-1.6318913,-1.0739925,0.3721419,-2.9648235,-1.5944349,-3.7786751,-1.9597766,1.4780085,-1.6588881,-1.3940102,-1.7491664,0.55083328,4.6896091,-1.9394112,-3.3646202,-0.71203625,-3.1612277,-2.119673,-1.6954806,-1.3964324,-2.8943512,-0.89031076,2.6140947,-1.0183187,-1.4339042,-0.72819293,FML
-2.412993,0.13425469,0.059359789,-0.84976727,-2.1620922,-1.7247434,-0.76307321,0.50463003,-3.0919869,-1.8790057,-3.7731302,-1.7909868,1.6300149,-1.7794272,-1.3345553,-1.2644334,0.67666847,4.7486916,-2.2509427,-3.9333358,-0.77014172,-3.1216822,-2.2850008,-1.4761027,-1.4006476,-2.945611,-0.84689415,2.9342282,-1.2712089,-1.5345316,-0.68930548,FML
-2.2881432,0.049081862,-0.18571913,-0.87876379,-2.2200799,-1.5185189,-0.87619412,0.71939838,-2.7701666,-1.4761454,-3.7048717,-1.9836955,1.4362824,-1.6885883,-1.2821616,-1.5748498,0.58735842,4.8839898,-2.1261897,-3.5540125,-0.84411669,-2.9322472,-2.4639034,-1.6797775,-1.1759648,-2.9610736,-0.80518836,2.903547,-1.3514299,-1.2761769,-0.80417794,FML
-2.5436449,-0.39759117,-0.25682968,-1.0352423,-1.9483178,-1.835423,-1.1128147,0.27835116,-3.0858271,-1.7213099,-3.7913733,-1.9044132,1.6291602,-1.8002106,-1.3940685,-1.5256515,0.44914284,4.4249358,-1.9574898,-3.5945063,-0.75675976,-3.357897,-2.0404572,-1.3608305,-1.7330806,-2.8437738,-1.1432987,2.1009476,-1.1190971,-1.4635773,-0.43739361,FML
-2.4473937,0.049572498,-0.14043093,-0.90858245,-2.0786674,-1.7206571,-0.80285406,0.61703503,-2.8553433,-1.5814384,-3.7428353,-1.9741826,1.5676,-1.6367707,-1.4972845,-1.6528127,0.4777495,4.8554111,-2.1172328,-3.6811435,-0.80134642,-3.0322087,-2.422466,-1.7100643,-1.1911842,-3.0209684,-0.91444385,2.9809999,-1.3680285,-1.4039631,-0.79760808,FML
